1 -> 0
2 -> 6
3 -> 5
4 -> 21
5 -> 7
 total de tuplas criticas : 40
Tempo total do programa:3.200000 seg
numero de combinacoes analisadas por cardinalidade
1; 104
2; 5356
3; 182104
4; 4598126
5; 91962520
Tempo Enumeracao
 2 ; 0.000 seg 
 3 ; 0.000 seg 
 4 ; 0.005 seg 
 5 ; 0.077 seg 
Tempo total; 0.082 ; 0.03 
Tempo primeira fase
 2; 0.00 seg
 3; 0.00 seg
 4; 0.08 seg
 5; 2.74 seg
Tempo total; 2.814 ; 0.88   
Tempo segunda fase
 2; 0.000 seg
 3; 0.000 seg
 4; 0.003 seg
 5; 0.128 seg
Tempo total; 0.131577; 0.04  
