1 -> 0
2 -> 5
3 -> 2
4 -> 26
5 -> 3
 total de tuplas criticas : 37
Tempo total do programa:0.014000 seg
numero de combinacoes analisadas por cardinalidade
1; 30
2; 435
3; 4060
4; 27405
5; 142506
Tempo Enumeracao
 2 ; 0.000 seg 
 3 ; 0.000 seg 
 4 ; 0.000 seg 
 5 ; 0.000 seg 
Tempo total; 0.000 ; 0.01 
Tempo primeira fase
 2; 0.00 seg
 3; 0.00 seg
 4; 0.00 seg
 5; 0.01 seg
Tempo total; 0.006 ; 0.41   
Tempo segunda fase
 2; 0.000 seg
 3; 0.000 seg
 4; 0.000 seg
 5; 0.002 seg
Tempo total; 0.002354; 0.17  
