1 -> 0
2 -> 0
3 -> 0
4 -> 1
5 -> 0
 total de tuplas criticas : 2
Tempo total do programa:0.038000 seg
numero de combinacoes analisadas por cardinalidade
1; 43
2; 903
3; 12341
4; 123410
5; 962598
Tempo Enumeracao
 2 ; 0.000 seg 
 3 ; 0.000 seg 
 4 ; 0.000 seg 
 5 ; 0.001 seg 
Tempo total; 0.001 ; 0.02 
Tempo primeira fase
 2; 0.00 seg
 3; 0.00 seg
 4; 0.00 seg
 5; 0.03 seg
Tempo total; 0.032 ; 0.84   
Tempo segunda fase
 2; 0.000 seg
 3; 0.000 seg
 4; 0.000 seg
 5; 0.000 seg
Tempo total; 0.000052; 0.00  
