1 -> 0
2 -> 0
3 -> 0
4 -> 3
5 -> 0
 total de tuplas criticas : 4
Tempo total do programa:0.010000 seg
numero de combinacoes analisadas por cardinalidade
1; 28
2; 378
3; 3276
4; 20475
5; 98280
Tempo Enumeracao
 2 ; 0.000 seg 
 3 ; 0.000 seg 
 4 ; 0.000 seg 
 5 ; 0.000 seg 
Tempo total; 0.000 ; 0.01 
Tempo primeira fase
 2; 0.00 seg
 3; 0.00 seg
 4; 0.00 seg
 5; 0.00 seg
Tempo total; 0.004 ; 0.44   
Tempo segunda fase
 2; 0.000 seg
 3; 0.000 seg
 4; 0.000 seg
 5; 0.000 seg
Tempo total; 0.000148; 0.01  
